,Company,Location,Salary,Synopsis,Title,min_salary,max_salary,avg_salary,analysis_yn,models_yn,software_yn,sales_yn,security_yn,marketing_yn
8,CHALO,Karachi, 35000,"Online exam set up and data entry.Working in our Customer Services and Support team and liaising closely with sales and development, you will primarily be…",Customer Support Representative,35.0,35.0,35.0,0,0,0,1,0,0
12,Megatech Trackers,Karachi, 20000 -  80000,"Translate data models into schemas.Thus, provides high-quality data analysis.Develop data solutions for reporting and disaster recovery preparedness.",Software Engineer,20.0,80.0,50.0,1,1,0,0,0,0
19,Megatech Trackers,Karachi, 20000 -  80000,"Translate data models into schemas.Thus, provides high-quality data analysis.Develop data solutions for reporting and disaster recovery preparedness.",Software Developer,20.0,80.0,50.0,1,1,0,0,0,0
24,Travel Express,Karachi, 100000,"We are looking for a Data Scientist who will support our product, sales, leadership and marketing teams with insights gained from analyzing company data.",Senior Data Scientist,100.0,100.0,100.0,0,1,0,1,0,1
31,Celeritas Solutions,Karachi, 70000 -  100000,Work with data scientists and analysts to improve software.Create security and data protection settings.Celeritas Solutions is looking for a Senior Full Stack…,Sr. Full Stack Developer,70.0,100.0,85.0,1,1,0,0,1,0
37,BreakThru,Karachi, 35000 -  50000,"Your primary focus will be to learn the codebase, gather user data, and respond to requests from senior developers.Working on minor bug fixes.",Jr Software Engineer,35.0,50.0,42.5,0,0,0,0,0,0
38,WADIC,Karachi, 30000 -  60000,We are Hiring --- *Junior Support Engineer.Junior Support Engineer (Zoho CRM preferred)*.Deliver sales forecasting and reporting data as requested.,Junior Support Engineer,30.0,60.0,45.0,1,0,0,1,0,0
40,Sybrid Pvt Ltd,Karachi, 40000 -  50000,"Collaborate with data engineers to build data and model pipelines.Should have clear understanding of data structures, data modeling and model evaluation.",Machine Learning Engineer,40.0,50.0,45.0,0,0,0,0,0,0
53,Ranipur Sugar Mills,Karachi, 30000 -  50000,"Our team is looking to for a new addition, who will be a research analyst with the following job requirements:",Research Analyst,30.0,50.0,40.0,1,0,0,0,0,0
67,Squarehouse,Karachi, 50000 -  75000,"Works with multi-functional business units to understand and document project objectives, scope, requirements, milestone, deliverable, schedule and cost…",Business Analyst,50.0,75.0,62.5,0,0,0,0,0,0
68,Nexus Corporation,Karachi, 90000,A minimum of 5 years’ experience as a business analyst.Ensuring solutions meet business needs and requirements.Managing competing resources and priorities.,Business Analyst,90.0,90.0,90.0,1,0,0,0,0,0
69,Code Avenue,Karachi, 40000 -  60000,"Required to create business proposals, gantt chart, user stories, functional and design specification documents etc.Team player and good interpersonal skills.",Business Analyst/PM,40.0,60.0,50.0,0,0,0,0,0,0
70,Technado (Pvt) Ltd,Karachi, 40000 -  60000,"Business Analyst in IT / Tech Industry:Creating a detailed business analysis, outlining problems, opportunities and solutions for a business.",Business Analyst,40.0,60.0,50.0,1,0,0,0,0,0
74,Appedology PVT Ltd.,Karachi, 30000 -  60000,"Appedology is looking for a Business Analyst.Translate the business needs into technical requirements.Scope process, create, document and modify business…",Business Analyst - Night Shift,30.0,60.0,45.0,1,0,0,0,0,0
84,WeSer,Peshawar, 10000 -  15000,Communicate with sites regarding data which has inconsistencies.Keeps data on server and on various software organized.,Trainee Optometrist,10.0,15.0,12.5,0,0,0,0,0,0
85,DataMining,Peshawar, 10000 -  15000,Communicate with sites regarding data which has inconsistencies.Keeps data on server and on various software organized.,Trainee Optometrist,10.0,15.0,12.5,0,0,0,0,0,0
99,Balqees Welfare Foundaton,Islamabad, 70000,"We are seeking a Project Administrator;Collecting and collating data for evaluation, monitoring and reporting to trustees.",Project Administrator,70.0,70.0,70.0,1,0,0,0,0,0
102,Essentia Technologies (Pvt) Ltd,Islamabad, 30000,Sound previous generalist experience of HR administration and collation of data for payroll.We are looking for an HR Administrator to join our team and support…,HR Administrator,30.0,30.0,30.0,0,0,0,0,0,0
103,KidsU Canada,Islamabad, 40000 -  45000,"Setup each employee profile, ensure valid data transfers to pay web.Strong and accurate data input, excellent accounting and book-keeping skills.",Payroll Administrator,40.0,45.0,42.5,0,0,0,0,0,0
105,Solved Engineering Inc.,Islamabad, 30000 -  50000,Technical support and guidance to users and other administrators.The Linux Administrator will be responsible for maintaining our current systems and keeping…,Linux Administrator,30.0,50.0,40.0,0,0,0,0,0,0
126,ALTUMED (Cube Healthcare Systems Pvt Ltd),Islamabad, 75000,"We, at AltuMed, are currently looking for a Software Engineer at our Islamabad Office.Experience OR knowledge of creating a modeling platforms using big data…",Jr. Software Engineer (AI Associate),75.0,75.0,75.0,0,0,1,0,0,0
129,Quaid Technologies,Rawalpindi, 35000 -  60000,Quaid Technologies is looking for a QA Engineer.Analyze data to identify areas for improvement in the quality system.Knowledge of SQL and scripting.,QA Engineer,35.0,60.0,47.5,0,0,0,0,0,0
139,Solved Engineering Inc.,Islamabad, 30000 -  40000,"Plan, organize, control and evaluate IT and electronic data operations.Responding / preparing documents i.e. RFPs.Managing social media pages and content.",Document Drafter / Data Analyst,30.0,40.0,35.0,0,0,0,0,0,0
147,N7 Tech,Rawalpindi, 20000 -  45000,Skills in using internet for research and data mining or collecting data.A background in creating reports showing web analytics data and site evaluations.,Digital marketing- SEO Analyst,20.0,45.0,32.5,1,0,0,0,0,0
148,Vertechs Meical Billing,Islamabad, 30000 -  42000,"Knowledge about Data Conversion and EMR implementation.Quality & AR Analyst, Denial management, AR Specialist and AR Follow Up.",Quality Executive (Medical Billing),30.0,42.0,36.0,1,0,0,0,0,0
163,NineSol Technology,Islamabad, 20000 -  30000,"Ninesol Technologies is looking for Quality Assurance Analyst.Write test cases based on business requirements, use cases, technical requirements and design…",Quality Assurance Analyst,20.0,30.0,25.0,1,0,0,0,0,0
166,Vertechs Meical Billing,Islamabad, 30000 -  42000,"Quality & AR Analyst, Denial management, AR Specialist and AR Follow Up.Develop short and long term business and delivery models that give insights and…",Quality Executive (Medical Billing),30.0,42.0,36.0,1,1,0,0,0,0
167,N7 Tech,Rawalpindi, 20000 -  45000,"We are seeking a full time SEO Expert, who is responsible for search engine optimization (SEO) that is optimal for the business (website) to gain greater…",Digital marketing- SEO Analyst,20.0,45.0,32.5,0,0,0,0,0,0
199,Glowlogix Pvt. Ltd,Islamabad, 25000 -  50000,Work with data scientists and analysts to improve software.Create security and data protection settings.We are looking for a Full Stack Developer to produce…,Full Stack Developer,25.0,50.0,37.5,1,1,0,0,1,0
201,Pocketle,Islamabad, 63000,"Recognizing Pakistan’s significant technology talent, Pocketle aims to hire Software Engineers, Data Scientists, and Quality Engineers over the next three years…",Senior React Native / Flutter Developer,63.0,63.0,63.0,0,1,1,0,0,0
246,Solved Engineering Inc.,Islamabad, 30000 -  40000,"Establish, maintain and enhance relationships with Finance, Business Units and IT partners.Proactive monitoring, management and adjustment of portfolio…",Document Drafter / Data Analyst,30.0,40.0,35.0,0,0,0,0,0,0
248,Hurak Education Services,Lahore, 30000 -  60000,"The role will include working on multiple tasks including data input, research, and admin work.Hurak Educations Services is a training provider offering adult…",Operations Officer,30.0,60.0,45.0,0,0,0,0,0,0
249,Marhaba Laboratories Pvt LTD,Lahore, 30000 -  35000,"Performing disaster recovery operations and data backups when required.Testing data exchange and communication between computers, routers, modems, and servers.",Network Administrator,30.0,35.0,32.5,0,0,0,0,0,0
250,YumyApps,Lahore, 50000 -  70000,"Responsible for hardware installation, RAID, Data Recovery, data restorations capabilities and troubleshooting Network Nodes.Purchase of equipment when needed.",VPN Specialist,50.0,70.0,60.0,0,0,0,0,0,0
277,WADIC,Lahore, 30000 -  60000,We are Hiring --- *Junior Supprt Engineer.Junior Support Engineer (Zoho CRM preferred)*.Deliver sales forecasting and reporting data as requested.,Junior Support Engineer,30.0,60.0,45.0,1,0,0,1,0,0
279,Viral Square,Lahore, 50000 -  100000,"Ability to define problems, collect data, establish facts, and draw valid conclusions.Viral Square a fast growing Software development company is looking for a…",Ruby/Rails/ROR Software Engineer,50.0,100.0,75.0,0,0,0,0,0,0
281,IE The Integrated Laboratories (Pvt.) Limited,Lahore, 20000 -  25000,"IE is looking for Site Engineer, who can manage the following activities as must have hand-on experience in On Grid - Net Metering kW scale PV Projects in…",Site Engineer (Solar PV),20.0,25.0,22.5,0,0,0,0,0,0
283,Giant Group,Lahore, 40000 -  80000,Achieves computer system objectives by gathering pertinent data;Provide reports/ data requests by management as necessary.Recommending a course of action.,Software development support engineer,40.0,80.0,60.0,1,0,0,0,0,0
284,Prime Alley Technology LLC,Lahore, 25000 -  40000,"Data Center, Route/Switch, LAN/WAN, Security, Collaboration.Ability to analyze and interpret performance data.Including but not limited to:",Network Pre Sales Engineer,25.0,40.0,32.5,0,0,0,0,1,0
287,Reliablez,Lahore, 25000,Collecting email data for Marketing campaigns.This position will suit more to candidates (Male / female) living near Lahore airport /Burki road/ DHA area..,Data Collection / Data Analyst,25.0,25.0,25.0,0,0,0,0,0,1
297,A1Strategez,Lahore, 100000 -  140000,Tableau and data visualization jasper reporting.Understanding of different data sources and transaction applications.Develop and manage BI solutions.,Sr. Business Intelligence (BI) Analyst,100.0,140.0,120.0,1,0,0,0,0,0
306,A1Strategez,Lahore, 100000 -  140000,A1Strategez *is looking for a Business Intelligence Analyst to join our team!Analyze business processes and requirements.Develop and manage BI solutions.,Sr. Business Intelligence (BI) Analyst,100.0,140.0,120.0,1,0,0,0,0,0
